Insurer,FY,Gross Premium,Net Premium,Net Earned Premium,Net Commisions Payable,Gross Claims Paid,Net Claims Paid,Net Claims Incurred,Unexpired Risk Adjustment,Management Expenses,Underwriting Profit/Loss
ABCI,2018,259348,30060,26166,-10298,58235,3683,10241,-339,20885,5677
Aetna,2018,66430,65433,12144,1557,2480,2480,12539,2115,1153,-5220
AIA (HK),2018,112084,112084,97384,16641,46116,46116,55091,0,4332,21320
AIA International,2018,1421797,1148533,1183472,44124,1166376,954968,975467,0,99455,64426
AIG Insurance HK,2018,1773448,721385,705314,-144163,679053,338890,460861,0,373178,15438
AGCS SE,2018,925878,561499,509229,43992,336066,176348,205863,8701,219559,31114
Allied World,2018,1004446,740916,750591,140841,921219,668588,355482,10046,169757,74465
Arch MI Asia,2018,16417,16417,64692,0,313,-350,-888,0,36734,28846
Asia Capital Re,2018,216283,197866,200455,53817,353395,198639,174302,0,8128,-35792
Asia Insurance,2018,1442075,939453,861348,224527,813426,389143,402723,0,81464,152634
ASIA-PACIFIC P&C,2018,20327,10149,12268,-43,13301,6536,-521,0,13183,-351
Generali,2018,1603904,1465306,1455696,283227,867797,795652,1042549,3001,156113,-29194
Gard P&I,2018,284871,143180,143180,12908,119924,99003,179286,0,2751,-51765
Skuld,2018,357133,108140,107099,11199,78045,44563,37511,0,63611,-5222
ACyC,2018,84981,26146,25468,-13332,27948,7173,7313,0,20832,10655
AXA China (Bermuda),2018,92,93,92,1,25679,16611,-427,0,1000,-482
AXA China (HK),2018,1135438,711751,701705,58554,887285,581658,610231,0,71484,-38564
AXA CS,2018,279776,186983,181768,32604,167473,117985,137672,3844,29364,-21716
AXA General,2018,3933434,3094393,3082017,621047,2336217,1806330,1922692,-46844,483215,101907
AXA Life,2018,0,0,0,0,0,0,0,0,0,0
BOC Group Insurance,2018,1882614,1453285,1491425,321338,1274206,964565,1030124,26050,105127,8786
BC Re,2018,124487,107159,105785,33959,69975,56891,47169,387,17798,6472
BE Re,2018,111910,105543,97401,27712,49088,43384,66308,5068,8394,-10081
Berkley Insurance,2018,104037,90296,72943,17879,19231,13181,39454,321,29616,-14327
BHSI,2018,346563,67885,69809,-59146,100705,20140,62261,402,83589,-17297
Blue Cross,2018,1349669,1291399,1253849,175678,915408,883750,911591,2353,64508,99719
Bupa,2018,3529856,2963757,2851561,180687,2457162,2118143,2149610,0,371879,149385
California Insurance,2018,51347,42196,47639,14693,15770,13787,30464,3080,9377,-9975
CGN Captive,2018,245097,130618,103196,14766,144,144,3999,0,8129,76302
Chevalier,2018,70382,52828,77987,2751,99784,72450,22616,10370,16939,25311
China BOCOM,2018,168517,40407,35718,8104,92842,11342,7765,145,15220,4484
China Merchants,2018,177384,133436,124425,47589,42546,37830,53337,0,16382,7117
China Overseas Insurance,2018,194789,151561,137559,148,217752,140437,87683,32555,15399,1774
China Pacific,2018,176945,68387,63186,15307,76257,31796,49199,423,13630,-15373
China Ping An,2018,390767,254660,245176,64497,193655,115677,184109,0,29581,-33011
CTPI(HK),2018,3195894,1926197,2248420,765790,2421466,1890290,1120985,3406,205138,153101
Chong Hing,2018,37574,26950,28698,-2985,21688,19838,18397,-1172,10059,4399
Chubb Insurance,2018,1464869,725968,698233,147985,806781,275710,271316,0,198052,80880
CIGNA Worldwide General,2018,794076,788759,728465,61185,515768,508655,530341,0,190443,-53504
CMBWL,2018,605112,496856,469152,80695,336768,285123,227694,44587,54973,61203
CNOOC Insurance,2018,655995,214437,183304,-12677,196613,39228,-30245,0,25533,200693
COFACE,2018,544127,399390,338379,67013,209244,105692,263559,13181,143352,-148726
Concord,2018,20220,14582,15950,2715,13671,7437,-3762,-720,7385,10332
Dah Sing Insurance (1976),2018,428545,288315,261618,69665,165447,96973,152708,3197,59730,-23682
East Point Re,2018,0,0,0,0,0,0,-5,0,3,2
EULER HERMES,2018,429324,45199,90637,-23609,234321,75834,75967,0,79285,-41006
Factory Mutual,2018,111425,52136,50452,-4730,967,1324,16748,0,4689,33745
Falcon Insurance,2018,375045,237598,241852,61247,230675,146180,122315,1404,52132,4754
Federal,2018,0,0,0,0,0,0,0,0,0,0
First American Title,2018,1973,1973,1973,0,0,0,-203,0,7086,-4910
FWD General,2018,512283,261745,266192,37674,275994,129452,137930,0,87542,3046
GAN,2018,0,0,0,0,7157,6464,-2367,0,3426,-1059
Gard M&E Ltd.,2018,51211,50550,18621,5304,2551,2551,8266,0,423,4628
GenRe,2018,21867,18952,20067,-2762,5426,5426,-42285,0,13297,51817
Hang Seng Insurance,2018,0,0,0,0,0,0,0,0,0,0
Hannover Re,2018,266741,133371,132401,18383,168012,84006,100163,159,7570,6126
HDI,2018,416937,85220,95193,7328,405480,92404,-9240,0,32254,64851
HKMCI,2018,447412,406254,262674,78782,3869,2843,2898,0,19432,161562
HKMC,2018,187345,159485,114738,51728,3687,3098,404,0,25443,37163
HK Re,2018,0,0,0,0,0,0,0,0,1,-1
Hong Leong Insurance (Asia),2018,193674,76665,76029,-30887,82626,32695,30814,0,52514,23588
HSBC Insurance,2018,0,0,0,0,0,0,0,0,0,0
Liberty Int'l,2018,970439,895347,846610,197420,481762,472056,488280,2500,111284,47126
LSMHK,2018,257391,168265,126419,30943,29001,24049,17751,0,67524,10201
Lloyd's,2018,837553,678238,669758,214403,467244,387029,649269,-716,12779,-205977
London Steam-Ship,2018,39868,7556,7556,4158,26076,2608,1089,0,2078,231
Min Xin,2018,7773,5935,8015,2074,14603,11276,1458,15,3747,721
MSIG Insurance,2018,1062488,831618,846176,233956,419544,355099,428193,12385,234793,-63151
Munich Re,2018,207332,172703,198737,28020,150075,150075,162364,0,20918,-12565
New India,2018,95458,92301,84605,31255,41465,39568,49083,-1070,7503,-2166
Pacific Insurance,2018,123146,104899,98279,19926,65006,54980,53169,3105,20516,1563
