,Insurer,FY,Category,Gross Premium,Net Premium
0,ABCI,2018,Accident & Health,4788,1258
1,ABCI,2018,Motor Vehicle,53252,2852
2,ABCI,2018,Aircraft,0,0
3,ABCI,2018,Ships,0,0
4,ABCI,2018,Goods in Transit,9373,1279
5,ABCI,2018,Property Damage,164923,8073
6,ABCI,2018,Employees Compensation,13504,11166
7,ABCI,2018,Owners Corporation Liability,1306,90
8,ABCI,2018,Other Business,11899,5222
9,ABCI,2018,Pecuniary Loss,303,120
10,ABCI,2018,Non-Proportional Treaty Reinsurance,0,0
11,ABCI,2018,Proportional Treaty Reinsurance,0,0
12,ABCI,2018,Total,259348,30060
13,Aetna,2018,Accident & Health,66430,65433
14,Aetna,2018,Motor Vehicle,0,0
15,Aetna,2018,Aircraft,0,0
16,Aetna,2018,Ships,0,0
17,Aetna,2018,Goods in Transit,0,0
18,Aetna,2018,Property Damage,0,0
19,Aetna,2018,Employees Compensation,0,0
20,Aetna,2018,Owners Corporation Liability,0,0
21,Aetna,2018,Other Business,0,0
22,Aetna,2018,Pecuniary Loss,0,0
23,Aetna,2018,Non-Proportional Treaty Reinsurance,0,0
24,Aetna,2018,Proportional Treaty Reinsurance,0,0
25,Aetna,2018,Total,66430,65433
26,AIA (HK),2018,Accident & Health,90273,90273
27,AIA (HK),2018,Motor Vehicle,0,0
28,AIA (HK),2018,Aircraft,0,0
29,AIA (HK),2018,Ships,0,0
30,AIA (HK),2018,Goods in Transit,0,0
31,AIA (HK),2018,Property Damage,16075,16075
32,AIA (HK),2018,Employees Compensation,1821,1821
33,AIA (HK),2018,Owners Corporation Liability,0,0
34,AIA (HK),2018,Other Business,3915,3915
35,AIA (HK),2018,Pecuniary Loss,0,0
36,AIA (HK),2018,Non-Proportional Treaty Reinsurance,0,0
37,AIA (HK),2018,Proportional Treaty Reinsurance,0,0
38,AIA (HK),2018,Total,112084,112084
39,AIA International,2018,Accident & Health,1421797,1148533
40,AIA International,2018,Motor Vehicle,0,0
41,AIA International,2018,Aircraft,0,0
42,AIA International,2018,Ships,0,0
43,AIA International,2018,Goods in Transit,0,0
44,AIA International,2018,Property Damage,0,0
45,AIA International,2018,Employees Compensation,0,0
46,AIA International,2018,Owners Corporation Liability,0,0
47,AIA International,2018,Other Business,0,0
48,AIA International,2018,Pecuniary Loss,0,0
49,AIA International,2018,Non-Proportional Treaty Reinsurance,0,0
