,Insurer,FY,Category,Gross Claims Paid,Net Claims Paid
0,ABCI,2018,Accident & Health,903,217
1,ABCI,2018,Motor Vehicle,15967,648
2,ABCI,2018,Aircraft,0,0
3,ABCI,2018,Ships,0,0
4,ABCI,2018,Goods in Transit,2648,172
5,ABCI,2018,Property Damage,35371,834
6,ABCI,2018,Employees Compensation,1550,1550
7,ABCI,2018,Owners Corporation Liability,455,35
8,ABCI,2018,Other Business,1341,227
9,ABCI,2018,Pecuniary Loss,0,0
10,ABCI,2018,Non-Proportional Treaty Reinsurance,0,0
11,ABCI,2018,Proportional Treaty Reinsurance,0,0
12,ABCI,2018,Total,58235,3683
13,Aetna,2018,Accident & Health,2480,2480
14,Aetna,2018,Motor Vehicle,0,0
15,Aetna,2018,Aircraft,0,0
16,Aetna,2018,Ships,0,0
17,Aetna,2018,Goods in Transit,0,0
18,Aetna,2018,Property Damage,0,0
19,Aetna,2018,Employees Compensation,0,0
20,Aetna,2018,Owners Corporation Liability,0,0
21,Aetna,2018,Other Business,0,0
22,Aetna,2018,Pecuniary Loss,0,0
23,Aetna,2018,Non-Proportional Treaty Reinsurance,0,0
24,Aetna,2018,Proportional Treaty Reinsurance,0,0
25,Aetna,2018,Total,2480,2480
26,AIA (HK),2018,Accident & Health,43575,43575
27,AIA (HK),2018,Motor Vehicle,0,0
28,AIA (HK),2018,Aircraft,0,0
29,AIA (HK),2018,Ships,0,0
30,AIA (HK),2018,Goods in Transit,0,0
31,AIA (HK),2018,Property Damage,2132,2132
32,AIA (HK),2018,Employees Compensation,-351,-351
33,AIA (HK),2018,Owners Corporation Liability,0,0
34,AIA (HK),2018,Other Business,760,760
35,AIA (HK),2018,Pecuniary Loss,0,0
36,AIA (HK),2018,Non-Proportional Treaty Reinsurance,0,0
37,AIA (HK),2018,Proportional Treaty Reinsurance,0,0
38,AIA (HK),2018,Total,46116,46116
39,AIA International,2018,Accident & Health,1166376,954968
40,AIA International,2018,Motor Vehicle,0,0
41,AIA International,2018,Aircraft,0,0
42,AIA International,2018,Ships,0,0
43,AIA International,2018,Goods in Transit,0,0
44,AIA International,2018,Property Damage,0,0
45,AIA International,2018,Employees Compensation,0,0
46,AIA International,2018,Owners Corporation Liability,0,0
47,AIA International,2018,Other Business,0,0
48,AIA International,2018,Pecuniary Loss,0,0
49,AIA International,2018,Non-Proportional Treaty Reinsurance,0,0
50,AIA International,2018,Proportional Treaty Reinsurance,0,0
51,AIA International,2018,Total,1166376,954968
52,AIG Insurance HK,2018,Accident & Health,161635,79406
53,AIG Insurance HK,2018,Motor Vehicle,80424,40398
54,AIG Insurance HK,2018,Aircraft,0,0
55,AIG Insurance HK,2018,Ships,140,63
56,AIG Insurance HK,2018,Goods in Transit,11999,2758
57,AIG Insurance HK,2018,Property Damage,78273,22086
58,AIG Insurance HK,2018,Employees Compensation,250673,151599
59,AIG Insurance HK,2018,Owners Corporation Liability,23,10
60,AIG Insurance HK,2018,Other Business,33230,18261
61,AIG Insurance HK,2018,Pecuniary Loss,62656,24309
62,AIG Insurance HK,2018,Non-Proportional Treaty Reinsurance,0,0
63,AIG Insurance HK,2018,Proportional Treaty Reinsurance,0,0
